date,eurcad_open,eurcad_high,eurcad_low,eurcad_close,eurcad_volume,gbpaud_open,gbpaud_high,gbpaud_low,gbpaud_close,gbpaud_volume,usdjpy_open,usdjpy_high,usdjpy_low,usdjpy_close,usdjpy_volume,eurgbp_open,eurgbp_high,eurgbp_low,eurgbp_close,eurgbp_volume,eurusd_open,eurusd_high,eurusd_low,eurusd_close,eurusd_volume,audcad_open,audcad_high,audcad_low,audcad_close,audcad_volume,audjpy_open,audjpy_high,audjpy_low,audjpy_close,audjpy_volume,audusd_open,audusd_high,audusd_low,audusd_close,audusd_volume,audchf_open,audchf_high,audchf_low,audchf_close,audchf_volume,usdchf_open,usdchf_high,usdchf_low,usdchf_close,usdchf_volume,gbpusd_open,gbpusd_high,gbpusd_low,gbpusd_close,gbpusd_volume,eurjpy_open,eurjpy_high,eurjpy_low,eurjpy_close,eurjpy_volume,cadjpy_open,cadjpy_high,cadjpy_low,cadjpy_close,cadjpy_volume,nzdusd_open,nzdusd_high,nzdusd_low,nzdusd_close,nzdusd_volume,audnzd_open,audnzd_high,audnzd_low,audnzd_close,audnzd_volume,euraud_open,euraud_high,euraud_low,euraud_close,euraud_volume,usdcad_open,usdcad_high,usdcad_low,usdcad_close,usdcad_volume,eurchf_open,eurchf_high,eurchf_low,eurchf_close,eurchf_volume,gbpjpy_open,gbpjpy_high,gbpjpy_low,gbpjpy_close,gbpjpy_volume,chfjpy_open,chfjpy_high,chfjpy_low,chfjpy_close,chfjpy_volume
2007-08-01 00:00:00,1.45846,1.46057,1.44141,1.44481,258970,2.37713,2.39308,2.37092,2.37879,32284,118.51,119.16,117.6,118.86,4888093,0.67385,0.6754,0.67215,0.6731,1954772,1.3671,1.37099,1.36363,1.36642,858940,0.90917,0.91037,0.89807,0.90177,105,101.12,102.03,99.44,101.36,1793601,0.85107,0.85677,0.84457,0.85137,13043,1.02461,1.03088,1.01236,1.0262,23879,1.2015,1.2051,1.1979,1.2035,2957771,2.0286,2.0343,2.0204,2.0297,1736386,162.04,163,160.45,162.43,3983238,111.06,112.88,109.93,112.38,814613,0.7622,0.7677,0.7529,0.76425,1014098,1.11806,1.12188,1.11308,1.11487,23842,1.6023,1.6165,1.5959,1.602,503673,1.0669,1.0696,1.0551,1.0575,808917,1.6428,1.647,1.6348,1.6447,1364540,240.41,242.17,237.62,241.26,1123292,98.63,98.98,97.94,98.74,1444863
2007-08-02 00:00:00,1.4447,1.4479,1.43646,1.44389,257008,2.37908,2.38875,2.3651,2.37118,32197,118.86,119.37,118.33,119.15,3529618,0.67305,0.67365,0.67195,0.67315,1500690,1.36625,1.37063,1.36478,1.37024,862289,0.90087,0.90477,0.89993,0.90343,165,101.37,102.63,100.51,102.22,1040788,0.85147,0.86037,0.84917,0.85697,7189,1.0263,1.03671,1.02112,1.03206,23804,1.2035,1.2084,1.2024,1.2033,2224137,2.0297,2.0378,2.0281,2.0355,1288301,162.43,163.5,161.55,163.29,2822170,112.38,113.51,111.755,113.05,429813,0.7642,0.7714,0.7602,0.7675,629178,1.11491,1.11904,1.11349,1.11642,23049,1.60195,1.6076,1.5917,1.5969,366877,1.0575,1.0599,1.0508,1.0537,552266,1.6447,1.6516,1.6418,1.649,880267,241.26,243.12,240.14,242.51,643617,98.74,99.11,98.3,99,915668
2007-08-03 00:00:00,1.44387,1.45562,1.44144,1.4547,250922,2.37135,2.38878,2.36905,2.38434,30009,119.15,119.31,117.94,118.03,3292739,0.6732,0.6756,0.6721,0.6747,1223945,1.37024,1.38178,1.36811,1.37698,828149,0.90377,0.90507,0.90093,0.90287,237,102.22,102.415,100.68,100.86,1112514,0.85707,0.86027,0.85487,0.85567,6897,1.03205,1.03466,1.01551,1.01705,21121,1.2033,1.2071,1.1867,1.1905,2165327,2.0355,2.0461,2.03365,2.04,951365,163.29,163.75,162.48,162.56,2418548,113.06,113.28,111.57,111.65,515091,0.7675,0.7687,0.7598,0.76,576569,1.11671,1.12422,1.11457,1.12227,19787,1.5969,1.6142,1.5954,1.6112,306808,1.0538,1.0576,1.05,1.0565,741479,1.6491,1.6534,1.6381,1.6398,1125403,242.51,242.94,240.6,240.81,366691,99,99.59,98.62,99.1,859296
2007-08-05 00:00:00,1.45846,1.4624,1.45434,1.4603,6902,2.38908,2.39402,2.38422,2.38508,2244,117.44,117.7,117.18,117.58,205378,0.6767,0.67775,0.67571,0.677,64951,1.3786,1.38387,1.3786,1.38163,33188,0.90097,0.90237,0.90027,0.90217,60,100.357,100.835,99.84,100.56,65967,0.85457,0.85477,0.85347,0.85427,265,1.01219,1.0131,1.00724,1.0128,2915,1.18955,1.18958,1.1814,1.1849,95849,2.03933,2.0434,2.03883,2.0406,33331,162.24,162.68,161.97,162.49,183475,111.13,111.25,110.81,111.245,33485,0.75964,0.75964,0.7554,0.7584,50490,1.12275,1.12711,1.12275,1.12572,2557,1.6167,1.6225,1.6146,1.6152,18406,1.0564,1.0579,1.05574,1.0569,16504,1.63748,1.6391,1.63515,1.6373,146552,240.43,240.43,239.09,239.97,24127,99.085,99.35,98.83,99.22,78337
2007-08-06 00:00:00,1.46023,1.46272,1.44588,1.45213,257578,2.38489,2.39146,2.36107,2.36635,32258,117.58,119.1,117.36,118.72,4127091,0.677,0.6809,0.67575,0.67945,1832958,1.38176,1.38386,1.37764,1.3808,861626,0.90367,0.90507,0.89967,0.90237,332,100.555,102.21,100.28,101.91,1036883,0.85417,0.85907,0.85367,0.85757,6090,1.01307,1.02339,1.01008,1.02197,24115,1.1849,1.1926,1.1824,1.1907,2658194,2.0406,2.0462,2.0279,2.032,1372590,162.49,164.24,162.11,163.95,3316911,111.245,113.29,110.87,112.87,662379,0.7584,0.7661,0.75645,0.7651,752548,1.12602,1.12738,1.11927,1.12121,22140,1.6151,1.6185,1.6047,1.6083,323808,1.0568,1.05885,1.0488,1.05165,601147,1.6373,1.6451,1.63501,1.64455,1492245,239.97,241.82,238.92,241.24,709555,99.21,99.99,99.06,99.68,1333830
2007-08-07 00:00:00,1.4523,1.4578,1.44706,1.44902,256879,2.36631,2.37656,2.35848,2.35888,32261,118.72,119.04,117.97,119.03,3542867,0.6795,0.6817,0.67875,0.6796,1871573,1.38098,1.38132,1.37314,1.37496,859633,0.90117,0.90407,0.89897,0.90207,236,101.91,102.09,100.435,102.085,1233343,0.85747,0.85917,0.85117,0.85567,8128,1.02189,1.02589,1.01508,1.02549,24018,1.1907,1.1985,1.18902,1.1963,2166554,2.032,2.0336,2.0188,2.0234,1547870,163.955,164.09,162.215,163.725,3074110,112.86,112.93,111.65,112.93,607931,0.7651,0.7652,0.7553,0.7635,740379,1.12075,1.12618,1.11937,1.12228,21934,1.6083,1.6167,1.6023,1.6034,321546,1.05165,1.05745,1.05129,1.0538,626119,1.6446,1.6472,1.6391,1.64525,1126402,241.25,241.34,238.58,240.87,756606,99.69,99.855,98.86,99.48,965937
2007-08-08 00:00:00,1.44907,1.45119,1.44447,1.44609,255913,2.35853,2.36784,2.35117,2.35797,32239,119.03,119.83,118.735,119.715,3583266,0.67965,0.68095,0.67695,0.67776,2025320,1.37526,1.38259,1.37185,1.37993,861373,0.90277,0.90517,0.90017,0.90407,288,102.09,103.415,101.67,103.33,1204277,0.85577,0.86487,0.85507,0.86477,7365,1.02553,1.0325,1.02214,1.03187,23993,1.1963,1.1995,1.1912,1.19575,2334368,2.0234,2.0398,2.01555,2.03588,1584693,163.725,165.39,163.29,165.22,3037189,112.93,114.33,112.545,114.205,639657,0.7634,0.7702,0.7589,0.769,683913,1.12217,1.12634,1.11894,1.12131,23026,1.6034,1.60795,1.5976,1.5985,287734,1.05375,1.05655,1.0461,1.048,571535,1.64525,1.6513,1.6432,1.6504,962659,240.88,244.08,239.84,243.75,763094,99.495,100.25,99.28,100.09,952493
2007-08-09 00:00:00,1.44617,1.45348,1.44217,1.44516,256026,2.35773,2.38502,2.35085,2.37963,32182,119.71,119.76,117.8,117.925,4499268,0.6777,0.67805,0.6744,0.6758,2381429,1.37984,1.38167,1.36533,1.36624,860382,0.90407,0.90697,0.89677,0.89777,213,103.335,103.65,99.8,100.17,1289835,0.86497,0.86627,0.84557,0.84637,11545,1.03201,1.03537,1.01439,1.01612,24081,1.19575,1.1994,1.1919,1.19675,2497429,2.0361,2.0395,2.0209,2.0217,1737219,165.225,165.27,160.95,161.17,3689392,114.21,114.25,111.09,111.47,751727,0.769,0.7701,0.7473,0.74885,946002,1.12124,1.1336,1.11852,1.13292,22707,1.5985,1.61245,1.5931,1.60855,388797,1.048,1.0642,1.04695,1.0577,811904,1.6504,1.65164,1.63543,1.6357,1474524,243.75,244.04,238.19,238.42,787237,100.095,100.13,98.36,98.51,1287641
2007-08-10 00:00:00,1.44528,1.45098,1.43897,1.44127,243126,2.37843,2.40155,2.37792,2.39483,30415,117.925,118.74,117.205,118.35,4704094,0.6758,0.67835,0.67495,0.6765,2380042,1.36655,1.37049,1.36406,1.36907,781855,0.89573,0.89697,0.88827,0.88877,94,100.17,100.58,98.51,99.86,1372911,0.84647,0.84727,0.83997,0.84497,10501,1.01656,1.01681,1.00321,1.01079,21088,1.19675,1.2017,1.1929,1.1985,2521567,2.0218,2.027,2.0152,2.02278,1482087,161.17,162.6,159.965,161.97,3667910,111.47,112.65,110.965,112.38,1065022,0.7489,0.7492,0.7399,0.745,825163,1.13317,1.13784,1.12952,1.1306,21159,1.60855,1.6263,1.6068,1.6214,389504,1.0577,1.0617,1.05145,1.0529,784521,1.6357,1.6453,1.6306,1.64195,1563251,238.44,240.51,236.3,239.47,854273,98.515,99.01,98.05,98.74,1019471
2007-08-12 00:00:00,1.44127,1.44299,1.44075,1.4425,13540,2.39438,2.39438,2.38724,2.39074,1794,118.19,118.48,118.15,118.3,129825,0.67662,0.6773,0.67623,0.6772,43950,1.36887,1.36936,1.3678,1.36897,76151,0.88877,0.89157,0.88877,0.88987,80,99.917,100.29,99.76,99.98,40892,0.84767,0.85047,0.84767,0.84837,502,1.01316,1.01437,1.0111,1.01256,2741,1.19856,1.1992,1.19805,1.19865,40163,2.02133,2.02335,2.02086,2.0211,22559,161.76,162.22,161.73,161.975,79439,112.11,112.4,112,112.25,16329,0.74669,0.74742,0.7434,0.74425,32841,1.1312,1.13509,1.12948,1.13421,2035,1.6182,1.62095,1.616,1.6196,11148,1.0535,1.0545,1.0531,1.0538,17088,1.6409,1.6416,1.63963,1.6411,45654,238.95,239.7,238.83,239.135,25237,98.587,98.82,98.52,98.685,49711
